Moneda,Siglas,Precio,Cambio 1 h,Cambio 24 h,Cambio 7 d,Volumen en 24 horas,Cap. de mercado,FDV,Cap merc/FDV,Cluster,Grupo
RocketX exchange,RVF,0.34,0.2,-0.0,4.8,1735502,26055927,34012303,077,0,0
cUNI,CUNI,0.13,0.0,-0.1,5.1,818771,25917603,25917603,100,0,0
Poollotto.finance,PLT,1.97,-0.2,0.4,-2.2,142607,25709925,37962051,068,0,0
Unidef,U,0.0,-0.0,-0.1,4.7,9848182,25709613,147756456,017,0,0
0xBitcoin,0XBTC,2.37,0.0,0.0,0.0,0,25697903,49799875,-,0,0
Dione,DIONE,0.0,0.1,9.3,1.1,912069,25673448,27070584,095,0,0
Dream Machine Token,DMT,42.5,-2.7,0.3,7.7,1523969,25565038,42504759,060,0,0
Nexa,NEXA,0.0,-4.7,-10.6,-24.7,4330305,25353411,156391287,016,0,0
Milady Meme Coin,LADYS,0.0,0.2,-3.3,9.8,1868569,25275481,25275481,100,0,0
Overnight.fi USD+,USD+,1.0,-0.0,-0.1,0.1,2835287,25100841,24940300,101,0,0
Quickswap,QUICK,0.05,-0.2,0.1,-0.6,1586678,25068493,47299044,053,0,0
LeverFi,LEVER,0.0,0.9,2.1,9.1,15837259,25011601,47463173,053,0,0
Findora,FRA,0.0,-1.0,-6.3,-0.7,982755,24925044,58005509,043,0,0
Rich Quack,QUACK,0.0,-0.5,1.7,0.5,140848,24916771,56739654,044,0,0
Alchemix,ALCX,13.04,-1.0,-1.3,3.0,871582,24848125,31259249,079,0,0
Ampleforth,AMPL,1.08,0.0,0.2,-3.0,194120,24679690,30297057,081,0,0
Onyxcoin,XCN,0.0,0.1,-0.5,-3.0,1538368,24623726,47734842,052,0,0
BENQI,QI,0.01,0.4,2.2,0.7,588878,24396928,45670946,053,0,0
BeNFT Solutions,BEAI,14.31,-0.4,6.6,-17.8,310305,24308957,100087120,024,0,0
Dejitaru Tsuka,TSUKA,0.02,0.0,-0.9,2.7,166513,24158275,24158275,100,0,0
Orion Protocol,ORN,0.7,-1.5,6.2,4.3,5361412,24072346,69910534,034,0,0
HELLO,HELLO,0.05,-0.3,3.6,10.9,255211,24054749,45274833,053,0,0
Sai,SAI,8.23,0.0,0.0,0.0,0,23801257,23801257,-,0,0
SpaceN,SN,0.59,1.4,-1.4,29.0,2427318,23697002,592276993,004,0,0
MELD [OLD],MELD,0.02,-1.1,-3.8,-3.3,437998,23636207,63798241,037,0,0
TROY,TROY,0.0,-0.1,-0.2,0.5,904683,23516404,25084164,094,0,0
